epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,373.292,1.21862,8.70552,0.71054,1.02884,0.0228,12.5412,0.9299,0.91288,0.96963,0.73208,0.66173,0.41508,0.36112,0.13821,0.98729,5.39153,0.46215,0.4182,0.02333,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,285.333,1.07728,5.83946,0.59971,0.65137,0.01965,6.50258,0.93211,0.92825,0.97388,0.73548,0.82815,0.58328,0.60719,0.34219,0.9785,3.63189,0.36404,0.41108,0.02337,0,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978
3,552.77,1.12051,5.37748,0.50799,0.66853,0.02075,5.84677,0.92386,0.8907,0.96087,0.71291,0.76848,0.55412,0.56584,0.34967,1.03165,3.78251,0.27943,0.47154,0.02448,0,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916
4,828.342,1.17164,5.20286,0.42972,0.69916,0.02191,5.57519,0.92644,0.93413,0.97386,0.72471,0.76153,0.62223,0.63138,0.3942,1.00523,3.25264,0.21039,0.40793,0.02417,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1118.26,1.11649,4.69238,0.37964,0.65314,0.02048,4.88367,0.94983,0.94622,0.98046,0.7384,0.81694,0.6722,0.67526,0.44387,0.9761,2.92267,0.14694,0.37282,0.02392,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1407.25,1.08965,4.35077,0.351,0.60808,0.01997,4.38976,0.9434,0.93453,0.97784,0.76534,0.78325,0.6837,0.68007,0.48481,0.87883,2.81564,0.11665,0.38983,0.02058,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1694.62,1.07393,4.14883,0.33379,0.59415,0.01957,4.14557,0.94103,0.93947,0.97831,0.775,0.79793,0.70652,0.70945,0.5207,0.8489,2.6475,0.12133,0.36287,0.01962,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1982.46,1.04653,3.95904,0.31694,0.57086,0.01906,3.85714,0.94484,0.94947,0.98101,0.79167,0.82009,0.73468,0.7321,0.54451,0.80506,2.45707,0.11618,0.3364,0.01841,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2271.06,1.01997,3.83421,0.30584,0.55705,0.01841,3.63978,0.9465,0.94839,0.98172,0.78601,0.82507,0.71827,0.70833,0.5386,0.83124,2.478,0.09568,0.33057,0.01907,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2560.74,1.00791,3.7654,0.29792,0.55349,0.01821,3.53798,0.95175,0.94953,0.98436,0.80201,0.79391,0.73557,0.70843,0.52846,0.7769,2.46489,0.09086,0.31416,0.01762,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
