epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,371.838,0.70976,2.74872,0.22518,0.33995,0.01206,2.23464,0.97595,0.97735,0.99093,0.87621,0.9179,0.88938,0.8947,0.74083,0.5698,1.3578,0.04922,0.21243,0.01239,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,687.425,0.7387,2.12513,0.21564,0.34916,0.0126,0.78294,0.974,0.97515,0.99081,0.85922,0.91633,0.88148,0.89375,0.73636,0.62098,1.39386,0.05027,0.22742,0.01401,0,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183
3,981.367,0.77142,2.23628,0.21286,0.37371,0.01324,0.96253,0.97082,0.97091,0.98993,0.8494,0.90568,0.86836,0.87905,0.70368,0.64046,1.54658,0.06454,0.24435,0.01435,0,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122
4,1268.53,0.82379,2.45474,0.21756,0.41108,0.0143,1.30954,0.96921,0.96457,0.98899,0.83286,0.89964,0.86186,0.86832,0.69905,0.68693,1.58418,0.05943,0.25628,0.01565,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1554.85,0.82546,2.44423,0.21669,0.4055,0.01424,1.26987,0.97087,0.96827,0.98938,0.84784,0.89683,0.86211,0.87739,0.70035,0.6571,1.56747,0.06029,0.24776,0.01464,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1842.56,0.82738,2.4341,0.21257,0.41406,0.01425,1.23068,0.96818,0.96923,0.98919,0.85136,0.90628,0.86874,0.88082,0.70381,0.64381,1.53977,0.05386,0.24872,0.01416,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2129.77,0.82773,2.42541,0.21131,0.40386,0.01433,1.21107,0.96396,0.96546,0.98898,0.83863,0.89379,0.84826,0.86675,0.69479,0.66561,1.57529,0.05778,0.25749,0.015,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2416.88,0.82029,2.39429,0.20924,0.40194,0.01421,1.18809,0.96799,0.96725,0.98864,0.85502,0.90193,0.8708,0.8803,0.7152,0.63322,1.51071,0.05828,0.25555,0.01423,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2705.03,0.82234,2.40577,0.20893,0.401,0.01424,1.21784,0.96157,0.96937,0.98881,0.85028,0.89316,0.86594,0.87858,0.71504,0.64749,1.55151,0.05451,0.25056,0.01445,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2992.38,0.81441,2.36932,0.20847,0.40496,0.01402,1.11551,0.96716,0.96852,0.98906,0.84819,0.90883,0.87272,0.88718,0.71277,0.64393,1.49602,0.05948,0.24466,0.01421,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
